834,834,834,834,834,834,834,834,834,834,,834,,832
92,IHS_LAG_1787A,UC-215919,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,NUVERAS TECHNOLOGIES LIMITED
93,IHS_LAG_1480A,UC-215980,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IENGINEERING NIGERIA LIMITED
94,IHS_LAG_1592A,UC-215981,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IENGINEERING NIGERIA LIMITED
95,IHS_LAG_3853H,UC-215985,Lagos,Upgrade/Colo,MTN,5G,06-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,SNOWVIEW SUPPORT SERVICE LIMITED
96,IHS_ABJ_1033A_New,UC-215989,Abuja,Upgrade/Colo,MTN,5G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,JARUS IMPERIAL NIGERIA LIMITED
97,IHS_ABJ_0968A_New,UC-216019,Abuja,Upgrade/Colo,MTN,5G,11-Oct-22,Q4'22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,JARUS IMPERIAL NIGERIA LIMITED
98,IHS_ABJ_1139A,UC-216022,Abuja,Upgrade/Colo,MTN,5G,25-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,JARUS IMPERIAL NIGERIA LIMITED
99,IHS_ABJ_1065A_New,UC-215999,Abuja,Upgrade/Colo,MTN,5G,25-Sep-22,Q3 '22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,JARUS IMPERIAL NIGERIA LIMITED
100,IHS_AKW_0789A,UC-219704,PHC,Upgrade/Colo,MTN,5G,30-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,CONNIG TECHNOSERVE LIMITED
101,IHS_DEL_0919A,UC-217502,Asaba,Upgrade/Colo,MTN,Eband,04-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
102,IHS_DEL_0819A,UC-217504,Asaba,Upgrade/Colo,MTN,Eband,28-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
103,IHS_ADA_0818A,UC-217519,Kano,Upgrade/Colo,MTN,Eband,21-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,Bedrock Multifunctions Limited
104,IHS_YOB_0780A,UC-217530,Kano,Upgrade/Colo,MTN,Eband,12-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
105,IHS_KAN_0118B,UC-217541,Kano,Upgrade/Colo,MTN,Eband,12-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
106,IHS_KAT_0701E,UC-217531,Kano,Upgrade/Colo,MTN,Eband,12-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
107,IHS_KAN_0856A,UC-217574,Kano,Upgrade/Colo,MTN,Eband,17-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
108,IHS_BOR_0762A,UC-217567,Kano,Upgrade/Colo,MTN,Eband,10-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
109,IHS_LAG_3823H,UC-218461,Lagos,Upgrade/Colo,MTN,Eband,05-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
110,IHS_RIV_0801A,UC-211602,PHC,Upgrade/Colo,MTN,LTE 800,06-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,TELENOETICA LIMITED
111,IHS_LAG_4379B,UC-201578,Lagos,BTS,Airtel,3G,01-Sep-22,Q3 '22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
