834,834,834,834,834,834,834,834,834,834,,834,,832
503,IHS_RIV_0900A,UC-131346,PHC,Upgrade/Colo,MTN,L26,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,SNOWVIEW SUPPORT SERVICE LIMITED
504,IHS_RIV_0968A,UC-211627,PHC,Upgrade/Colo,MTN,L8,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
505,IHS_RIV_0968A,UC-227467,PHC,Upgrade/Colo,MTN,L18,29-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
506,IHS_RIV_0968A,UC-131588,PHC,Upgrade/Colo,MTN,L26,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,0,WAPABAS ENGINEERING AND CONSTRUCTION LIMITED
507,IHS_OGN_1099A,CO-230519,Lagos,Upgrade/Colo,Airtel,2G,30-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,LAFRED ENGINEERING COMPANY LIMITED
508,IHS_OGN_1099A,UC-230527,Lagos,Upgrade/Colo,Airtel,3G,30-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
509,IHS_OGN_1387A,CO-230521,Lagos,Upgrade/Colo,Airtel,2G,30-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,LAFRED ENGINEERING COMPANY LIMITED
510,IHS_OGN_1387A,UC-230529,Lagos,Upgrade/Colo,Airtel,3G,30-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
511,IHS_IBA_0740E,CO-231255,Ibadan,Upgrade/Colo,Airtel,2G,31-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,EKM
512,IHS_IBA_0740E,UC-231285,Ibadan,Upgrade/Colo,Airtel,3G,31-Dec-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
513,IHS_OYO_1126B,CO-231249,Ibadan,Upgrade/Colo,Airtel,2G,29-Dec-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,NUVERAS TECHNOLOGIES LIMITED
514,IHS_OYO_1126B,UC-231295,Ibadan,Upgrade/Colo,Airtel,3G,29-Dec-22,Q4'22,Equipment On Air,Equipment On Air,Closed,SBC,IHS
515,IHS_KWA_0780A,UC-232141,Ibadan,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
516,IHS_BAY_0725A,UC-232010,PHC,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Failed and Power Analysis Submitted,PMO - TLA,Infra Manager,Bedrock Multifunctions Limited
517,IHS_EDO_1112C,UC-231509,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EKM
518,IHS_EDO_0757A,UC-232171,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,Civil Work Completed and Power Not Required,PMO - TLA,Regional Rollout Manager,EKM
519,IHS_DEL_0951A,UC-232099,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,Civil Work Completed and Power Not Required,PMO - TLA,Regional Rollout Manager,EKM
520,IHS_EDO_1028A,UC-231502,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EKM
521,IHS_EDO_1044C,UC-231477,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EKM
522,IHS_DEL_0946A,UC-232155,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
523,IHS_WAR_0766C,UC-231459,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
524,IHS_DEL_0938A,UC-232125,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
525,IHS_DEL_1175A,UC-231441,Asaba,Upgrade/Colo,MTN,5G,29-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
526,IHS_ANA_0931A,UC-232230,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Site Engineer Assigned,TSS Completed,SBC,PMO - TLA,EKM
527,IHS_ANA_1441B,UC-231393,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EKM
528,IHS_ANA_0924A,UC-232240,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EZZENTIAL GLOBAL SERVICES
529,IHS_ANA_0960A,UC-232232,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EZZENTIAL GLOBAL SERVICES
530,IHS_LAG_1661A,UC-231642,Lagos,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,Civil Work Completed and Power Not Required,PMO - TLA,Regional Rollout Manager,CENTDOOR LIMITED
531,IHS_LAG_1249A,UC-232048,Lagos,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
532,IHS_LAG_2840C,UC-231604,Lagos,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,LAFRED ENGINEERING COMPANY LIMITED
533,IHS_LAG_1513A,UC-231606,Lagos,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,TELENOETICA LIMITED
534,IHS_ANA_0798A,UC-232228,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,ANCHOR TELECOMS NIGERIA LIMITED
535,IHS_ANA_1442B,UC-231403,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO- Power,SBC,ANCHOR TELECOMS NIGERIA LIMITED
536,IHS_ANA_0846A,UC-232268,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,CONNIG TECHNOSERVE LIMITED
537,IHS_OZO_0001C,UC-231452,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
538,IHS_ANA_1207A,UC-231391,Asaba,Upgrade/Colo,MTN,5G,30-Dec-22,Q4'22,Site Engineer Assigned,TSS Completed,SBC,PMO - TLA,SNOWVIEW SUPPORT SERVICE LIMITED
539,IHS_DEL_0912A,UC-232104,Asaba,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
540,IHS_DEL_1076A,UC-231407,Asaba,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,CENTDOOR LIMITED
541,IHS_WAR_0744C,UC-231464,Asaba,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,CENTDOOR LIMITED
542,IHS_WAR_0886H,UC-231396,Asaba,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Site Engineer Assigned,Civil Work Completed and Power Not Required,SBC,Regional Rollout Manager,SNOWVIEW SUPPORT SERVICE LIMITED
543,IHS_LAG_3795H,UC-231590,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EZZENTIAL GLOBAL SERVICES
544,IHS_LAG_0250B,UC-231753,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EZZENTIAL GLOBAL SERVICES
545,IHS_LAG_1123A,UC-231988,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,EZZENTIAL GLOBAL SERVICES
546,IHS_OGN_0941A,UC-232113,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
547,IHS_OGN_1250A,UC-231863,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
548,IHS_OGN_1185A,UC-231854,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,FARALIM GLOBAL SERVICES NIGERIA LIMITED
549,IHS_OGN_1098A,UC-231825,Lagos,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Upgrade Initiated,Upgrade Initiated,HOR,Head Of Region,0
550,IHS_OND_1098B,UC-231778,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
551,IHS_OND_0938A,UC-231819,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,BOLAMARK ENGINEERING LIMITED
552,IHS_OYO_0786A,UC-231968,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
553,IHS_OND_0914A,UC-231788,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
554,IHS_OND_1102B,UC-231823,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
555,IHS_OYO_0926A,UC-232227,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
556,IHS_OYO_0830A,UC-232219,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
557,IHS_OSU_0112C,UC-231887,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
558,IHS_OYO_0841A,UC-232179,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
559,IHS_KWA_0879A,UC-231555,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
560,IHS_EKI_0039B,UC-231541,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
561,IHS_EKI_0757A,UC-232177,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
562,IHS_EKI_0880C,UC-231532,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EZZENTIAL GLOBAL SERVICES
563,IHS_EKI_0796A,UC-232224,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
564,IHS_IBA_0723E,UC-231917,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,TSS Completed,Civil Work Completed and Power Pending,PMO - TLA,Regional Rollout Manager,Shenymann Projectplus Ltd
565,IHS_OYO_1295B,UC-231916,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
566,IHS_OYO_1198H,UC-231942,Ibadan,Upgrade/Colo,MTN,5G,31-Dec-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,Shenymann Projectplus Ltd
567,IHS_LAG_1371A,UC-216854,Lagos,Upgrade/Colo,Airtel,L26,03-Jan-23,Q1'23,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,BOLAMARK ENGINEERING LIMITED
568,IHS_LAG_1257A,UC-221508,Lagos,Upgrade/Colo,MTN,Aviat_eband,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,NUVERAS TECHNOLOGIES LIMITED
569,IHS_CRR_0727E,CO-227917,PHC,Upgrade/Colo,MTN,2G,03-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,TELENOETICA LIMITED
570,IHS_CRR_0727E,UC-228216,PHC,Upgrade/Colo,MTN,3G,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
571,IHS_CRR_0727E,UC-228238,PHC,Upgrade/Colo,MTN,4G,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
572,IHS_LAG_1863A,UC-226857,Lagos,Upgrade/Colo,MTN,NFE_Growth,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
573,IHS_CRR_0937A,UC-226773,PHC,Upgrade/Colo,MTN,NFE_Growth,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
574,IHS_OND_0034B,UC-227524,Ibadan,Upgrade/Colo,MTN,L26,01-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
575,IHS_RIV_0942A,CO-231265,PHC,Upgrade/Colo,Airtel,2G,04-Jan-23,Q1'23,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,Bedrock Multifunctions Limited
576,IHS_RIV_0942A,UC-231287,PHC,Upgrade/Colo,Airtel,3G,04-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
577,IHS_RIV_0703E,UC-229409,PHC,Upgrade/Colo,MTN,5G,04-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
578,IHS_PHC_0943H,UC-229405,PHC,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,SNOWVIEW SUPPORT SERVICE LIMITED
579,IHS_EKI_0914B,UC-231514,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,NUVERAS TECHNOLOGIES LIMITED
580,IHS_IBA_0073B,UC-231947,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,ANCHOR TELECOMS NIGERIA LIMITED
581,IHS_OND_1049B,UC-231812,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,BOLAMARK ENGINEERING LIMITED
582,IHS_LAG_1867A,UC-231710,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
583,IHS_RIV_1285A,UC-231982,PHC,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
584,IHS_OND_1024C,UC-231811,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,TSS Completed,Civil Work Completed and Power Pending,PMO - TLA,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
585,IHS_LAG_1965A,UC-231748,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,RFI Completed,PMO- Power,Rollout Project Manager,LAFRED ENGINEERING COMPANY LIMITED
586,IHS_LAG_1495A,UC-231653,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,EKM
587,IHS_RIV_1278A,UC-231971,PHC,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
588,IHS_PHC_0614C,UC-231972,PHC,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
589,IHS_RIV_1348A,UC-231951,PHC,Upgrade/Colo,MTN,5G,04-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
590,IHS_IBA_0114C,UC-231969,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,ANCHOR TELECOMS NIGERIA LIMITED
591,IHS_LAG_2632C,UC-231578,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,Site Engineer Assigned,Civil Work Completed and Power Not Required,SBC,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
592,IHS_IBA_0099C,UC-231937,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
593,IHS_EKI_0879C,UC-231523,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,Upgrade Initiated,Contractor Approved,HOR,Regional Rollout Manager,0
594,IHS_OGN_1292A,UC-231849,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,Civil Work Completed and Power Not Required,PMO - TLA,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
595,IHS_EKI_0783A,UC-232188,Ibadan,Upgrade/Colo,MTN,5G,01-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,NUVERAS TECHNOLOGIES LIMITED
596,IHS_LAG_1764A,UC-231707,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,Site Engineer Assigned,TLA Report and Power Analysis Submitted,SBC,SBC,Bedrock Multifunctions Limited
597,IHS_LAG_3018C,UC-231612,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
598,IHS_RIV_1258A,UC-231952,PHC,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,TSS Completed,TSS Completed,PMO - TLA,PMO - TLA,CENTDOOR LIMITED
599,IHS_LAG_1808A,UC-226812,Lagos,Upgrade/Colo,MTN,NFE_Growth,03-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
600,IHS_RIV_1214A,UC-231970,PHC,Upgrade/Colo,MTN,5G,04-Jan-23,Q1'23,TSS Completed,TLA Report and Power Analysis Submitted,PMO - TLA,SBC,Bedrock Multifunctions Limited
601,IHS_LAG_2797C,UC-231755,Lagos,Upgrade/Colo,MTN,5G,03-Jan-23,Q1'23,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,TELENOETICA LIMITED
602, IHS_KAN_1031A,UC-201651,Kano,Upgrade/Colo,Airtel,FE,05-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,BOLAMARK ENGINEERING LIMITED
603,IHS_OGN_1371A,UC-212083,Lagos,Upgrade/Colo,MTN,L26,19-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,IHS
604,IHS_OGN_0832E,UC-211765,Lagos,Upgrade/Colo,Airtel,MW,11-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
605,IHS_ABJ_1252B,CO-234674,Abuja,Upgrade/Colo,Spectranet,LTE,19-Jan-23,Q1'23,Colocation Process Initiated,Colocation Process Initiated,HOR,Head Of Region,0
606,IHS_OYO_0902A,UC-216689,Ibadan,Upgrade/Colo,Airtel,IPRAN,18-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by Rollout Project Manager,KAM,KAM,0
607,IHS_LAG_0699C,UC-216918,Lagos,Upgrade/Colo,Airtel,L26,16-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
608,IHS_OYO_1031A,UC-217439,Ibadan,Upgrade/Colo,MTN,Huawei_Eband,18-Jan-23,Q1'23,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IHS
609,IHS_RIV_0898A,UC-217460,PHC,Upgrade/Colo,MTN,Huawei_Eband,13-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
610,IHS_LAG_0085V,UC-217462,Lagos,Upgrade/Colo,MTN,Huawei_Eband,18-Jan-23,Q1'23,Retrofit Decision and Power Analysis Submitted,Civil Work Completed and Power Not Required,Infra Manager (PMO),Regional Rollout Manager,LAFRED ENGINEERING COMPANY LIMITED
611,IHS_LAG_1568A,UC-221513,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,GLOVTEX TELECOMMUNICATION LIMITED
612,IHS_LAG_1646A,UC-221499,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IENGINEERING NIGERIA LIMITED
613,IHS_LAG_1627A,UC-218449,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,Bedrock Multifunctions Limited
614,IHS_LAG_3853H,UC-218420,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,SNOWVIEW SUPPORT SERVICE LIMITED
615,IHS_LAG_0432B,UC-218440,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,Shenymann Projectplus Ltd
616,IHS_LAG_0690C,UC-218480,Lagos,Upgrade/Colo,MTN,Aviat_eband,18-Jan-23,Q1'23,RFI Completed,RFI Acknowledged by KAM,RPM,KAM,NUVERAS TECHNOLOGIES LIMITED
617,IHS_ABJ_0284B,CO-227954,Abuja,Upgrade/Colo,MTN,2G,17-Jan-23,Q1'23,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,GLOVTEX TELECOMMUNICATION LIMITED
618,IHS_ABJ_0284B,UC-228245,Abuja,Upgrade/Colo,MTN,3G,17-Jan-23,Q1'23,Site Engineer Assigned,Site Engineer Assigned,SBC,SBC,IHS
619,IHS_KAT_0766A,UC-227321,Kano,Upgrade/Colo,Airtel,MW,15-Jan-23,Q1'23,BOQ Approved,BOQ Approved,Power Uplift Manager,0,FARALIM GLOBAL SERVICES NIGERIA LIMITED
620,IHS_ABJ_0015B,UC-226970,Abuja,Upgrade/Colo,MTN,5G,18-Jan-23,Q1'23,RFI Completed,RFI Acknowledged by KAM,RPM,KAM,0
621,IHS_ABJ_0822A,UC-227001,Abuja,Upgrade/Colo,MTN,5G,10-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,0
622,IHS_LAG_1295A,UC-226893,Lagos,Upgrade/Colo,MTN,NFE_Growth,19-Jan-23,Q1'23,BOQ Approved and Power Upgrade Completed,RFI Completed,NQA,Rollout Project Manager,GLOVTEX TELECOMMUNICATION LIMITED
623,IHS_LAG_1641A,UC-226813,Lagos,Upgrade/Colo,MTN,NFE_Growth,11-Jan-23,Q1'23,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,GLOVTEX TELECOMMUNICATION LIMITED
624,IHS_LAG_1684A,UC-226798,Lagos,Upgrade/Colo,MTN,NFE_Growth,16-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,0
625,IHS_ABJ_1673B,UC-219920,Abuja,Upgrade/Colo,MTN,NFE_Growth,17-Jan-23,Q1'23,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,0
626,IHS_ABJ_1030A,UC-219839,Abuja,Upgrade/Colo,MTN,NFE_Growth,17-Jan-23,Q1'23,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,0
627,IHS_ANA_1065A,UC-227499,Asaba,Upgrade/Colo,MTN,L26,08-Jan-23,Q1'23,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
628,IHS_KWA_0734A,UC-227536,Ibadan,Upgrade/Colo,MTN,L26,09-Jan-23,Q1'23,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IHS
629,IHS_EDO_1007A,UC-227503,Asaba,Upgrade/Colo,MTN,L26,17-Jan-23,Q1'23,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
630,IHS_ANA_1133A,UC-227509,Asaba,Upgrade/Colo,MTN,L26,08-Jan-23,Q1'23,Civil Work Completed and Power Not Required,Civil Work Completed and Power Not Required,RRM,Regional Rollout Manager,IHS
